transition,period_from,period_to,jsd_score,top_gainers,top_losers
2019 -> 2020,2019,2020,0.4161,"[[""T02"", 28.5]]","[[""T99_other"", -32.5]]"
2024 -> 2025,2024,2025,0.1822,"[[""T06"", 6.8]]","[[""T99_other"", -5.7], [""T01"", -4.9]]"
2022 -> 2023,2022,2023,0.1814,"[[""T99_other"", 9.0], [""T04"", 4.3]]","[[""T02"", -6.9], [""T01"", -3.9]]"
2016 -> 2017,2016,2017,0.1779,"[[""T01"", 12.8]]","[[""T99_other"", -14.3]]"
2021 -> 2022,2021,2022,0.1657,"[[""T99_other"", 4.8], [""T01"", 2.7], [""T04"", 2.3]]","[[""T02"", -11.5]]"
2020 -> 2021,2020,2021,0.1533,"[[""T03"", 5.9], [""T99_other"", 3.7]]","[[""T02"", -9.0], [""T01"", -2.6]]"
2015 -> 2016,2015,2016,0.1513,"[[""T99_other"", 5.5]]","[[""T01"", -6.5]]"
2025 -> 2026,2025,2026,0.1335,"[[""T10"", 3.7]]","[[""T04"", -3.0], [""T03"", -2.1], [""T08"", -2.1]]"
2017 -> 2018,2017,2018,0.1156,"[[""T99_other"", 4.8]]","[[""T01"", -5.1]]"
2018 -> 2019,2018,2019,0.1084,[],"[[""T01"", -3.5]]"
2023 -> 2024,2023,2024,0.0781,[],"[[""T01"", -3.7]]"
