period,topic_id,narrative_id,narrative_name,count,topic_period_total,narrative_share_pct
2015,T06_migrant,N1_disease,โรคระบาดและสาธารณสุข,0,1,0.0
2015,T06_migrant,N2_jobs,การแย่งอาชีพและแย่งงาน,0,1,0.0
2015,T06_migrant,N3_citizenship,สัญชาติ สิทธิการเมือง และดินแดน,0,1,0.0
2015,T06_migrant,N4_crime,อาชญากรรมและความมั่นคง,0,1,0.0
2017,T06_migrant,N1_disease,โรคระบาดและสาธารณสุข,0,1,0.0
2017,T06_migrant,N2_jobs,การแย่งอาชีพและแย่งงาน,0,1,0.0
2017,T06_migrant,N3_citizenship,สัญชาติ สิทธิการเมือง และดินแดน,0,1,0.0
2017,T06_migrant,N4_crime,อาชญากรรมและความมั่นคง,0,1,0.0
2019,T06_migrant,N1_disease,โรคระบาดและสาธารณสุข,0,1,0.0
2019,T06_migrant,N2_jobs,การแย่งอาชีพและแย่งงาน,0,1,0.0
2019,T06_migrant,N3_citizenship,สัญชาติ สิทธิการเมือง และดินแดน,0,1,0.0
2019,T06_migrant,N4_crime,อาชญากรรมและความมั่นคง,0,1,0.0
2020,T06_migrant,N1_disease,โรคระบาดและสาธารณสุข,0,6,0.0
2020,T06_migrant,N2_jobs,การแย่งอาชีพและแย่งงาน,1,6,16.7
2020,T06_migrant,N3_citizenship,สัญชาติ สิทธิการเมือง และดินแดน,0,6,0.0
2020,T06_migrant,N4_crime,อาชญากรรมและความมั่นคง,0,6,0.0
2021,T06_migrant,N1_disease,โรคระบาดและสาธารณสุข,0,15,0.0
2021,T06_migrant,N2_jobs,การแย่งอาชีพและแย่งงาน,0,15,0.0
2021,T06_migrant,N3_citizenship,สัญชาติ สิทธิการเมือง และดินแดน,9,15,60.0
2021,T06_migrant,N4_crime,อาชญากรรมและความมั่นคง,1,15,6.7
2022,T06_migrant,N1_disease,โรคระบาดและสาธารณสุข,0,19,0.0
2022,T06_migrant,N2_jobs,การแย่งอาชีพและแย่งงาน,1,19,5.3
2022,T06_migrant,N3_citizenship,สัญชาติ สิทธิการเมือง และดินแดน,6,19,31.6
2022,T06_migrant,N4_crime,อาชญากรรมและความมั่นคง,0,19,0.0
2023,T06_migrant,N1_disease,โรคระบาดและสาธารณสุข,0,21,0.0
2023,T06_migrant,N2_jobs,การแย่งอาชีพและแย่งงาน,1,21,4.8
2023,T06_migrant,N3_citizenship,สัญชาติ สิทธิการเมือง และดินแดน,11,21,52.4
2023,T06_migrant,N4_crime,อาชญากรรมและความมั่นคง,0,21,0.0
2024,T06_migrant,N1_disease,โรคระบาดและสาธารณสุข,1,38,2.6
2024,T06_migrant,N2_jobs,การแย่งอาชีพและแย่งงาน,4,38,10.5
2024,T06_migrant,N3_citizenship,สัญชาติ สิทธิการเมือง และดินแดน,16,38,42.1
2024,T06_migrant,N4_crime,อาชญากรรมและความมั่นคง,0,38,0.0
2025,T06_migrant,N1_disease,โรคระบาดและสาธารณสุข,4,391,1.0
2025,T06_migrant,N2_jobs,การแย่งอาชีพและแย่งงาน,5,391,1.3
2025,T06_migrant,N3_citizenship,สัญชาติ สิทธิการเมือง และดินแดน,68,391,17.4
2025,T06_migrant,N4_crime,อาชญากรรมและความมั่นคง,4,391,1.0
2026,T06_migrant,N1_disease,โรคระบาดและสาธารณสุข,1,256,0.4
2026,T06_migrant,N2_jobs,การแย่งอาชีพและแย่งงาน,9,256,3.5
2026,T06_migrant,N3_citizenship,สัญชาติ สิทธิการเมือง และดินแดน,62,256,24.2
2026,T06_migrant,N4_crime,อาชญากรรมและความมั่นคง,0,256,0.0
