period,topic_id,count,total_period_claims,share_pct
2015,T01,19,72,26.39
2015,T02,0,72,0.0
2015,T03,0,72,0.0
2015,T04,0,72,0.0
2015,T05,0,72,0.0
2015,T06,1,72,1.39
2015,T07,0,72,0.0
2015,T08,0,72,0.0
2015,T09,0,72,0.0
2015,T10,0,72,0.0
2015,T99_other,52,72,72.22
2016,T01,50,251,19.92
2016,T02,0,251,0.0
2016,T03,0,251,0.0
2016,T04,0,251,0.0
2016,T05,1,251,0.4
2016,T06,0,251,0.0
2016,T07,0,251,0.0
2016,T08,1,251,0.4
2016,T09,1,251,0.4
2016,T10,3,251,1.2
2016,T99_other,195,251,77.69
2017,T01,101,309,32.69
2017,T02,2,309,0.65
2017,T03,1,309,0.32
2017,T04,0,309,0.0
2017,T05,3,309,0.97
2017,T06,1,309,0.32
2017,T07,0,309,0.0
2017,T08,4,309,1.29
2017,T09,1,309,0.32
2017,T10,0,309,0.0
2017,T99_other,196,309,63.43
2018,T01,99,359,27.58
2018,T02,5,359,1.39
2018,T03,1,359,0.28
2018,T04,1,359,0.28
2018,T05,0,359,0.0
2018,T06,0,359,0.0
2018,T07,0,359,0.0
2018,T08,4,359,1.11
2018,T09,3,359,0.84
2018,T10,1,359,0.28
2018,T99_other,245,359,68.25
2019,T01,127,527,24.1
2019,T02,3,527,0.57
2019,T03,7,527,1.33
2019,T04,2,527,0.38
2019,T05,2,527,0.38
2019,T06,1,527,0.19
2019,T07,0,527,0.0
2019,T08,7,527,1.33
2019,T09,14,527,2.66
2019,T10,3,527,0.57
2019,T99_other,361,527,68.5
2020,T01,464,1810,25.64
2020,T02,527,1810,29.12
2020,T03,32,1810,1.77
2020,T04,4,1810,0.22
2020,T05,35,1810,1.93
2020,T06,6,1810,0.33
2020,T07,6,1810,0.33
2020,T08,29,1810,1.6
2020,T09,33,1810,1.82
2020,T10,22,1810,1.22
2020,T99_other,652,1810,36.02
2021,T01,457,1980,23.08
2021,T02,399,1980,20.15
2021,T03,151,1980,7.63
2021,T04,7,1980,0.35
2021,T05,49,1980,2.47
2021,T06,15,1980,0.76
2021,T07,8,1980,0.4
2021,T08,42,1980,2.12
2021,T09,52,1980,2.63
2021,T10,14,1980,0.71
2021,T99_other,786,1980,39.7
2022,T01,908,3528,25.74
2022,T02,305,3528,8.65
2022,T03,333,3528,9.44
2022,T04,93,3528,2.64
2022,T05,106,3528,3.0
2022,T06,19,3528,0.54
2022,T07,11,3528,0.31
2022,T08,92,3528,2.61
2022,T09,64,3528,1.81
2022,T10,26,3528,0.74
2022,T99_other,1571,3528,44.53
2023,T01,1078,4947,21.79
2023,T02,85,4947,1.72
2023,T03,414,4947,8.37
2023,T04,341,4947,6.89
2023,T05,113,4947,2.28
2023,T06,21,4947,0.42
2023,T07,50,4947,1.01
2023,T08,69,4947,1.39
2023,T09,91,4947,1.84
2023,T10,37,4947,0.75
2023,T99_other,2648,4947,53.53
2024,T01,888,4922,18.04
2024,T02,101,4922,2.05
2024,T03,430,4922,8.74
2024,T04,279,4922,5.67
2024,T05,94,4922,1.91
2024,T06,38,4922,0.77
2024,T07,97,4922,1.97
2024,T08,141,4922,2.86
2024,T09,65,4922,1.32
2024,T10,57,4922,1.16
2024,T99_other,2732,4922,55.51
2025,T01,684,5197,13.16
2025,T02,53,5197,1.02
2025,T03,435,5197,8.37
2025,T04,349,5197,6.72
2025,T05,90,5197,1.73
2025,T06,391,5197,7.52
2025,T07,128,5197,2.46
2025,T08,237,5197,4.56
2025,T09,87,5197,1.67
2025,T10,154,5197,2.96
2025,T99_other,2589,5197,49.82
2026,T01,348,2992,11.63
2026,T02,54,2992,1.8
2026,T03,189,2992,6.32
2026,T04,111,2992,3.71
2026,T05,87,2992,2.91
2026,T06,256,2992,8.56
2026,T07,117,2992,3.91
2026,T08,73,2992,2.44
2026,T09,104,2992,3.48
2026,T10,199,2992,6.65
2026,T99_other,1454,2992,48.6
